ID,Name,Closed Permanently,Closed for COVID,Covid Notes,Category,Parent Organization,Description,Address,Address2ndLine,City,State,Zip,Latitude,Longitude,Neighborhood,Email,Phone,Hours,Website,Facebook,Pinterest,Twitter,LinkedIn,Instagram,Eligibility Requirements,Languages,Food Types,Non-food Items,Services,Public Notes,Admin Contact,Admin Phone,Admin Email,Donation Contact,Donation Phone,Donation Email,Donation Pickup,Accepts Frozen,Accepts Refrigerated,Accepts Perishable,Donation Schedule,Donation Delivery Instructions,Donation Notes,Verification Status
4589,Casa TELACU,,,,Other,,"Casa TELACU is a 74-unit low-income apartment community conveniently located by the 710 and 60 freeways in the city of East Los Angeles. We have on-site laundry facilities, professionally landscaped grounds, gated parking and a large community room for our residents’ enjoyment. Each apartment includes air condition/heating and a full kitchen with a stove and refrigerator as well as grab bars in the bathrooms for our residents’ convenience.",251 S Arizona Ave,,Los Angeles,CA,90022,34.03396899,-118.1637578,,,(323) 262-5059,[],https://telacu.com/property_listings/casa-telacu/,,,,,,,English,,,,,,,,,,,,,,,,,,4
3020,Inglewood Church of Christ,,,,"Food Pantry, Other",,,323 S. Eucalyptus Avenue,,Inglewood,CA,90301,33.9595172,-118.3598898,,inglewoodchurchofchrist@gmail.com,310-674-7690,[],http://www.inglewoodchurchofchrist.org/?fbclid=IwAR2nfl3moF6QDeMp1Td9X4ZVW_M2WhmlLabZtRKpNY4Y_uBjM0UQb-Vq0ic,https://www.facebook.com/InglewoodCoC/,,,,,,English,,,,,,,,,,,,,,,,,,3
5570,Emmanual Labor,,,,Food Pantry,,,6508 Marvin Gardens,,McKinney,TX,75070,33.16973907,-96.70308166,,info@emmanuellabor.org,,[],,,,,,,,,,,,,,,info@emmanuellabor.org,,,,,,,,,,,1
4549,Best Community ADHC N. Hollywood,1,,,Unknown,,,10858 Oxnard St,,North Hollywood,CA,91606,34.17914849,-118.367855,,,(818) 353-3224,[],,,,,,,,English,,,,,,,,,,,,,,,,,,4
5417,Iglesia Josue,,,Drive-thru food distribution.,Food Pantry,Redwood Empire Food Bank,"Drive-thru pantry open every other Saturday.
**Please call the number listed in order to confirm food distribution dates and times.**",5050 Commerce Blvd,,Rohnert Park,CA,94928,38.36,-122.71,,,(707) 484-2675,[],https://getfood.refb.org/sites/iglesia-josue,https://www.facebook.com/iglejosue,,,,,,English,,,,"Pantry: Drive thru pantry open every other Saturday. Call (707) 484-2675 to get food and confirm distribution date. 
		
			
",,,,,,,,,,,,,,2
4972,RCCG- Jesus Embassy Los Angeles Food Pantry,,,,Food Pantry,RCCG- Jesus Embassy Los Angeles,The food pantry branch of RCCG- Jesus Embassy Los Angeles Church. Twice a month they provide food to those in need until there is nobody left.,442 East El Segundo Blvd,,Los Angeles,CA,90061,33.91613259,-118.2662226,,,818-300-8640,[],jesusembassyLA.org,https://www.facebook.com/pages/category/Religious-Organization/RCCG-Jesus-Embassy-LA-1451986751786363/,,https://twitter.com/JesusEmbassyLA,,https://www.instagram.com/jesusembassyla,None,English,,"Sometimes pet food and other items depending on what is donated, but nothing other than food consistently ",,Food is distributed to the public until everyone has been served or food runs out.,,,,Pastor Toyin,818-300-8640,,,1,1,1,,,"No set donation time, call Pastor Toyin to schedule drop off",3
4488,A Place Called Home,,,"They started a a Family Resource Depot to deliver groceries, household necessities, books and art supplies to local families in need.","Food Pantry, Meal Program, Community Garden",,"APCH provides a safe, nurturing environment with proven programs in the arts, education and wellness for the young people in South Central Los Angeles to help them improve their economic conditions and develop healthy, fulfilling and purposeful lives.",2830 S. Central Avenue,,Los Angeles,CA,90011,34.015754,-118.255943,,info@apch.org,(323) 232-7653,[],https://apch.org/#fp_frd,https://www.facebook.com/APCH2830/,,https://twitter.com/apch2830,,https://instagram.com/apch2830,,English,"Groceries, fresh fruits and vegetables, non-perishables","paper goods, books, art supplies, household necessities","education, arts, sports & recreation, mental health, teen & young adult services, community engagement & service",,,323-232-7653,info@apch.org,,,,,,,,,Donate at https://apch.org/get-involved/donate/,,2
5041,Single Room Occupancy - Palmer House,,,,Shelter,,,538 S. Wall Street,,Los Angeles,CA,90013,34.036,-118.677,,,(213) 229-9640,[],,,,,,,,English,,,,,,,,,,,,,,,,,,4
3114,Salvation Army - South LA (The Siemon Center),,,"Hours reduced to M-F, 9AM - 5PM","Food Pantry, Meal Program",Salvation Army,,7651 South Central Avenue,,Los Angeles,CA,90001,33.97006998,-118.256593,COMMUNITY AND NEIGHBORS FOR NINTH DISTRICT UNITY (CANNDU),info@siemoncenter.org,"(323) 586 - 0288, Press 2",[],http://www.siemoncenter.org,https://www.facebook.com/SiemonCenter/,,,,,"FIRST TIME CLIENTS, please bring the following:
* A valid picture ID
* Proof of Income, e.g. Check Stubs, SSA, GR, Calworks/Calfresh
* Proof of Address
* Serve zip codes 90001, 90002, 90003, 90011, 90037, 90044, 90059, 90061

RETURNING CLIENTS, just bring your ID",English,General pantry items,,"Youth Camps, Classes & Activities, Sports Leagues, Worship ","Normal operations, including membership activities and programs, are temporarily closed. The Siemon Center is open M-F 9-5 for food distribution and assistance. No utility assistance at this time. 
Grab-N-Go Breakfast and Lunch meals for kids 1-18 yrs old, M-F (8-9am)",Victoria Roberts,323-586-0288 #2,,Victoria Roberts,,,,,,,,,,3
5407,Gray's Meadow Apartments,,,Wear a mask,Food Pantry,Burbank Housing,Groceries to Go First Tuesday of the month1:00pm - 2:00pm Third Tuesday of the month1:00pm - 2:00pm Senior Basket Third Tuesday of the month1:00pm - 2:00pm,2352 Meadow Way,,Santa Rosa,CA,95404,38.41582223,-122.708009,,,(707)523-0886,[],https://getfood.refb.org/sites/grays-meadow-apartments,,,,,,,English,,,,"
			Groceries To Go: USDA food open for all. OPEN TO RESIDENTS

Senior Basket: Box of staple food items for low income seniors 60 or older, bring ID to apply on site. OPEN TO RESIDENTS
		
			
",,7075230886,,,,,,,,,,,,2
4491,Action Community Outreach Foundation,1,,,Unknown,,,5149 Cavanagh Road,,Los Angeles,CA,90032,34.06988036,-118.1717456,,,(323) 343-8933,[],,,,,,,,English,,,,,,,,,,,,,,,,,,4
4432,HOPE Inc,,,,Other,,"Open 24/7
Reach out to organization for counselling needs appropriately",1645 W 135th street,,Gardena,CA,90249,33.90926374,-118.305864,,kateyez0211@att.net,(310) 357-4563,[],,,,,,,,English,,,,"Not a food pantry, does not offer food anymore",Kate,(310) 357-4563,kateyez0211@att.net,,,,,,,,,,,3
4374,Venice Community Housing,,,"Their previous office (720 Rose Avenue, Venice, CA 90291) is currently under construction.

They are a low-income housing organization and do not serve meals to the public. They have provided pre-made meals to their tenants and clients on an as-needed basis during COVID-19, but not to the wider public.

Because of COVID, they have created a small food pantry for their tenants that is based on donations received from the public and from additional supplies provided by the Westside Food Bank.  They are also in the process of working with a few other local organizations to address continued food insecurity on the West Side of LA County, but they are in the exploratory phase at this point to see what their current capacity is and where they need to add resources. ","Food Pantry, Meal Program, Shelter",,,200 Lincoln Blvd.,,Venice,CA,90291,34.001847,-118.4684985,VENICE NC,info@vchcop.org,(310) 399-4100,[],http://www.vchcorp.org/,https://www.facebook.com/vchcorp/,,https://twitter.com/VCHC,,https://www.instagram.com/vchcorp/,"They only distribute food to their tenants. To join their housing programs, please check the following:
1. For their Permanent Supportive Housing units, they go based on a list called the Coordinated Entry System (CES), which is a centralized database for people with housing needs throughout the county. People can sign up for through a number of different agencies (on the West Side, they can go through St. Joseph’s Center, the People Concern, or a few others). 
2. For their other units, they have a closed waiting list at this time, but they are hoping to open it again soon, especially as they are able to build more units or purchase additional properties",English and Spanish,"canned food, fresh produce, bread, and other non-perishables",hygiene products,"case management, coordination of care and services, etc.","They currently have 72 Permanent Supportive units, 144 affordable units, a crises shelter for 8 families (4-6 months), and a transitional living center for TAY youth ages 18-24.",Geoffrey Pincus-Brimble  (Sr. Services Coordinator),Office: (310) 537-8398;  Cell: (310) 740-4839,gpincus@vchcorp.org,Geoffrey Pincus-Brimble  (Sr. Services Coordinator),Office: (310) 537-8398;  Cell: (310) 740-4839,gpincus@vchcorp.org,1,1,1,1,Wednesdays and Fridays,two regular refrigerators with small freezers (like you’d find in a home),"Currently, their storage capacity is limited, so they are unable to accept certain donations, but they are always open to receiving as much as they can handle (if they think they can distribute it, they take it).",2
4095,Morning Star Outreach Ministry,,,,Food Pantry,,,2415 San Ramon Valley Blvd.,Suite 4342,San Ramon,CA,94583,37.77472199,-121.979305,,,(510) 886-8558,[],,,,,,,,English,,,,,,,,,,,,,,,,,,4
4306,Del Aire Baptist Church,,,,Food Pantry,,,4951 W. 119th Place,,Hawthorne,CA,90250,33.92483801,-118.365294,,,(310) 676-8352,[],www.delairbc.org,,,,,,,English,,,,,,,,,,,,,,,,,,4
4584,Carson Senior Assisted Living,,,,Other,,,345 E Carson Street,,Carson,CA,90745,33.83169123,-118.2635735,,ginger@carsonassistedliving.net,(310) 830-4010,[],https://ci.carson.ca.us/communityservices/Senior_Recreation.aspx,,,,,,,English,,,,,,,,,,,,,,,,,,4
4127,Eagle Rock Covenant Church,,,"Due to COVID-19, they open at 5PM. Before COVID they opened at 4:30PM.",Meal Program,,,1649 Yosemite Drive,,Los Angeles,CA,90041,34.13332,-118.203147,EAGLE ROCK NC,office@ercovchurch.org,(323) 257-6434,[],http://www.eaglerockcovenantchurch.org,,,,,,"No ID or registration required. They only offer food once a week, and anyone can come.",English,,,,,,,,,,,,,,,,,,4
5007,Salvation Army - Zahn Memorial Center,,,Temporarily closed due to COVID restrictions.,Shelter,Salvation Army,"We are focused on locating long term housing for each family, including transitional and permanent housing options. We serve families in downtown Los Angeles, and provide individuals in crisis with an immediate, safe place to stay and the resources to begin getting their lives back on track. Provides 90 days of emergency housing to 18 chronically homeless families with special needs, and often works with families referred to The Salvation Army from the Department of Mental Health, the Los Angeles County Public Health Office of AIDS Programs and Policy, and the Los Angeles Homeless Services Authority Street Outreach Team.",832 W. James M. Wood Blvd,,Los Angeles,CA,90015,34.04652401,-118.264109,,Telma.BarretoCruz@usw.salvationarmy.org,(213) 438-1617,[],https://zahn.salvationarmy.org/zahn_memorial_center_us_west/,,,,,,,English,Non perishable food,,,Their business hours are 24/7.,,,,,,,,,,,,,,3
4036,A.V. Living Water Worship Center,,,Food pantry may or may not continue after pandemic.,Food Pantry,,"We organize many opportunities for our members to volunteer and work with our community on outreach programs. Some of these programs are for children, food and clothing drives for the less fortunate, to organize picnics and other fun events. ",111 West Avenue,L-12,Lancaster,CA,93535,34.66058484,-118.1308524,,lwwc93535@gmail.com,(661) 422-6863,[],https://lwwcofav.org/,,,https://twitter.com/lwwc93535,,https://www.instagram.com/lwwc93535/,,English,,,,,,,,,,,,,,,,,,4
2981,Greater New Morning Star Baptist Church,,,,Food Pantry,N/a,,210 W. Florence Avenue,,Los Angeles,CA,90003,33.9745963,-118.2767182,COMMUNITY AND NEIGHBORS FOR NINTH DISTRICT UNITY (CANNDU),GNMS210@gmail.com,(323) 529-4446,[],https://www.gnms210.org/,https://www.facebook.com/pages/Greater-New-Morning-Star-Baptist-Church/148434605185202,,,,,"- Have to be at least 18 years old 
- Must bring own bag or cart to carry food","English
Spanish",,,"Church services, Child Care Center, Spanish classes","COVID Updates:
- Food Pantry is open every Saturday from 7:30am - 10am
- Masks are not required but preferred",,,,Ike,(323) 529-4446,no email,1,1,1,1,call ahead,,call ahead,2
5058,James Wood Community Center (Single Room Occupancy - Panama Hotel).,,,,"Other, Shelter",," At the James M. Wood Community Center (JWCC), residents of the Central City East (Skid Row) reclaim and rebuild their community through organizing and participating in social, recreational, educational, artistic, nutritional, civic, recovery and community prevention activities. Our goal is to create a safe, sober and well-maintained space that is available to all community groups. The Center serves as both a catalyst and a resource for community recovery as well as an important home to community-building efforts. Open for single occupancy housing to former Skid Row homeless and low income individuals.  SRO Housing is the only organization in Los Angeles that provides the full continuum of housing; Emergency, Transitional, and Permanent Supportive Housing (PSH) in private units. Over 2,300 formerly homeless and low-income men and women are housed in our short-term/emergency, transitional, and permanent supportive housing sites.

Services: Case Management, on an as-needed basis; Transportation Services for disabled adults and/or seniors (Ages 65+); Nutrition Program - hot nutritious meals for eligible seniors, as well as Home-Delivered Meals; Recreational/Socialization activities designed to enhance resident well-being; Recovery and support groups",400 E 5th St.,,Los Angeles,CA,90013,34.04434098,-118.244952,,info@srohousing.org,(213) 229-9602,[],https://www.srohousing.org/planningdevelopment.html,,,,,,65+,English,,,,,,,,,,,,,,,,,,2
4008,Anaheim United Methodist Church,,,,Food Pantry,,,1000 S. State College Boulevard,,Anaheim,CA,92806,33.8250003,-117.8891337,,office@anaheimumc.org,(714) 776-5710 or 714-776-4533,[],https://www.anaheimumc.org/,,,,,,,English,,,,"COVID Updates: Office is closed and the staff is working from home. All in-person events are closed. 

",,,,,,,,,,,,,,4
5206,WSFB - Metropolis (Metro Church),,,,"Food Pantry, Other",Metro Church,,603 Arizona Ave,,Santa Monica,CA,90401,34.01961388,-118.4948489,,hello@metropolissm.com,(424) 272-8737,[],http://metropolissm.com/,https://www.facebook.com/Metrocafe603,,,,https://www.instagram.com/metropolis.603/,,English,Beverages,"Sanitary gloves, hand sanitizer, masks, feminine products, toothbrush/toothpaste, soap/shampoo, deodorant, sunscreen, chapstick, toilet paper, paper towels, napkins, zip lock bags, to-go containers, cleaning products, laundry detergent, plastic cutlery ","Work space, bible service",,,,,,,,,,,,Thursdays (9-10am) or Sundays (11am-2pm),,Donations must be brought to the location on the listed days and times. Monetary donations are accepted using their website.,4
4825,Iglesia Pentecostal Peniel,,,,"Food Pantry, Other",,,2632 Pasadena Ave,,Los Angeles,CA,90031,34.07744663,-118.2150778,,,(323) 944-8410,[],,https://www.facebook.com/Iglesia-Pentecostal-Peniel-1383266158387458/?ref=page_internal,,,,,,English,,,,,,,,,,,,,,,,,,4
5256,Journey Center (Santa Rosa),,,Org is closed due to Covid,Other,,,x,x,x,x,x,30.28867,31.748,,info@journeycenter.org,(707) 578-2121,[],www.journeycentersantarosa.org,https://www.facebook.com/thejourneycenter,,https://twitter.com/journeycenter,,https://www.instagram.com/journeycentersantarosa/,There aren't really any requirements for most.,English,,,Contemplative Prayer Gathering Virtually (more information on their website),People will need rsvp to receive the zoom link for the online programs,,,,,,,,,,,,,,4
5313,God's Pantry - Pomona,,,All food distributions are Drive-through and by appointment only. When at drive-through: Glass window must be kept closed or lower no more than ⅔ of height. Client is advised to stay in the car and open up the trunk.,Food Pantry,,God’s Pantry’s Mission is to share the Gospel of Jesus Christ in a practical way by helping meet the basic wellness needs of the community.,250 E Center Street,,Pomona,CA,91767,34.06127893,-117.7467863,,info@gods-pantry.org,(909) 766-8038,[],http://www.gods-pantry.org,https://www.facebook.com/godspantryca/?ref=page_internal,,,,https://www.instagram.com/godspantry_org/?fbclid=IwAR1xf0Xub4RA04BWZVLVydYZyJdklMpZzsRE42wTNV6il1u15l7f0783tqU,,English,"Free Groceries – 65 lbs. of frozen protein, fresh veggies, dairy and bread",,"Job Training for at risk youth, Workforce development, Access to Case Management, and Mental Health Services",,Katie West,626-464-3008,ktwest80.kw@gmail.com,,,,,,,,,,To donate you need to call and spear to the warehouse manager since there are specific hours to donate according to them and they ask how much and what is being donated.,4
5296,County of Sonoma Human Services Department (HSD),,,,Unknown,,,x,x,x,x,x,30.28867,31.748,,,(877) 699-6868,[],,,,,,,,English,,,,,,,,,,,,,,,,,,1
4811,Home At Last CDC,,,,"Food Pantry, Meal Program, Shelter",,"To increase the safety and emotional stability of homeless individuals and families through temporary and permanent housing. We promote life sustainability through social services, job readiness, education and advocacy.",5171 S. Vermont Ave,,Los Angeles,CA,90037,33.99534384,-118.2918342,,info@homeatlastcdc.org,323-750-7177,[],https://www.homeatlastcdc.org/,https://www.facebook.com/homeatlastorg/,,https://twitter.com/homeatlastorg,,http://instagram.com/homeatlastcdc,,English,Frozen Food items that require preparation or warmup,,,,Jay,323-909-5911,,,,,,,,,,,,3
4043,Long Beach Senior Center,,,"Must wear a mask. They are not letting people inside, so food will be given outside. Come to the back door.","Food Pantry, Meal Program",,,1150 E. 4th Street,Room 117,Long Beach,CA,90802,33.77169951,-118.176966,,,(562) 570-3506,[],,,,,,,Seniors only (at least 50 years old). Do not need to show ID for food pantry.,English. Also have staff who speak Spanish.,,,,"Come to the back door.
Also offer participate in HSA meal program and Brown Bag: Food for Elders
HSA Meal program:
Brown Bag:",,,,,,,,,,,,,,4
3094,Rehoboth Courage Church,,,,Food Pantry,Rehobot Drug and Alcohol Prevention Center,,568 W. Compton Boulevard,,Compton,CA,90220,33.89588155,-118.233621,,adefemiadegbesan@gmail.com,(310)663-0789,[],www.rehobothcouragechurch.org,https://www.facebook.com/RCCG-Rehoboth-Courage-Church-180157735333672/,,,,,n/a,English,,,DUI and anger management programs,"Provides both perishable and nonperishable - does NOT provide prepared food

",,,,Adefmei Adegbesan,(310)663-0789,adefmeiAdegbesan@gmail.com,,1,1,1,take donations Tues-Friday from 10-5,call ahead to organize delivery,,2
4363,Mt. Tabor Missionary Baptist Church & Youth Ministry,,,,Food Pantry,,,6614 S Western Avenue,,Los Angeles,CA,90047,33.978681,-118.308942,EMPOWERMENT CONGRESS CENTRAL AREA NDC,baptistchmttabor@gmail.com,(323) 753-3189,[],http://mttaborla.org/,https://www.facebook.com/Mt-Tabor-MBC-C-Y-Ministry-84229204708/,,,,,,English,,,,,,,,,,,,,,,,,,3
4786,Grant AME Church,,,,"Food Pantry, Other, Shelter",,,10435 S. Central Ave,,Los Angeles,CA,90002,33.94115,-118.25434,,grantamela@gmail.com,(323) 564-1151,[],http://grantamechurch.org,https://www.facebook.com/GAMELosAngeles/,,,,,,English,,,,,,,,,,,,1,1,,,,,4
5507,St. Mary of the Angels Church,,,,Food Pantry,,,900 S Oak St,,Ukiah,CA,95482,39.14100567,-123.207621,,,707-462-1431,[],https://getfood.refb.org/sites/st-mary-of-the-angels-church,,,,,,,English,,,,"
			Pantry: Call first to apply
		
			
",,,,,,,,,,,,,,2
3047,Los Angeles First Church of the Nazarene,1,,,Food Pantry,,"The first locations were in downtown LA, including the Glory Barn at 526 S. Los Angeles Street from 1896 to 1903. After relocating to 6th & Wall and then 25th & Magnolia, LA 1st relocated to 3rd & Vermont in 1953. As it grew committed to this local community, it began three other congregations (Spanish, Korean, Filipino), as well as the Bresee Foundation-a non-profit organization committed to address the social needs of the community.","3401 W. 3rd Street Los Angeles, CA 90020",,Los Angeles,CA,90020,34.068259,-118.31043,RAMPART VILLAGE NC,churchadmin@la1stnaz.org,(213) 385-6345,[],http://www.la1stnaz.org,https://www.facebook.com/pg/LAFirstNaz/about/?ref=page_internal,,,,,,"English, also operate Spanish, Korean, and Filipino congregations.",,,,,,,,,,,,,,,,,,2
4540,Barnes Park,,,,Other,Los Angeles Regional Food Bank,"This is a park, not a food pantry.",350 South McPherrin Avenue,,Monterey Park,CA,91754,34.036,-118.677,,ialvarez@montereypark.ca.gov,(626) 307-1497,[],https://www.montereypark.ca.gov/facilities/facility/details/barnespark-3,,,,,,,English,,,,,,,,,,,,,,,,,,2
4662,Daily Dreams ADHC,,,"Only tele-help service, they will deliver food package.","Meal Program, Care Center",,"Helping with meals, snacks, and activities for seniors, also transporting, pick up, and drop off. ",1320 W. Magnolia Blvd,,Burbank,CA,91506,34.17549664,-118.3232209,,,818-729-9191,[],,,,,,,interview and medical base,English,they provide meals and sancks when center is open now because of covid they deliver food packages,,"adult day care transportation, special diets ,physical therapy ,skilled nursing",,,,,,,,,,,,,,,4
5521,The Arbors,,,,"Food Pantry, Other",,"Groceries to Go Second Thursday of the month1:00pm - 2:00pm Fourth Thursday of the month1:00pm - 2:00pm
Low income housing community. May be closed on major holidays, no distribution on Thanksgiving (11-26-20)",480 City Center Dr,,Rohnert Park,CA,94928,38.34988226,-122.7059147,,info@burbankhousing.org,(707) 586-1057,[],https://getfood.refb.org/sites/the-arbors,,,,,,,English,,,,"Groceries To Go: USDA food open to all
		
			
",,,,,,,,,,,,,,4
4640,Cornucopia Services,,,,Other,,"Cornucopia offers a number of services that address the everyday needs of our residents. These services are designed to help with necessities such as food, school supplies, and baby gear. We also focus on community building and emotional well-being with parties, barbeques, Christmas gifts, and senior events.

Cornucopia collaborates with a variety of food banks across several counties to provide 735 of our residents with a package of food that includes both fresh and packaged items every month. A common parcel will include chicken, rice, fresh fruits, and vegetables. Seniors on limited incomes welcome the help to their food budgets.",21515 Hawthorne BLVD Suite 125,,Torrance,CA,90503,33.83361429,-118.3529121,,office@cornucopiaservices.org,(310) 802-6674,[],http://cornucopiaservices.org/,https://www.facebook.com/pg/Cornucopia-Services-272272932846316/about/?ref=page_internal,,,https://www.linkedin.com/company/cornucopia-services,https://www.instagram.com/cornucopiaservices/,Must be a resident of one of their properties,English,"Cornucopia collaborates with a variety of food banks across several counties to provide 735 of our residents with a package of food that includes both fresh and packaged items every month. A common parcel will include chicken, rice, fresh fruits, and vegetables. Seniors on limited incomes welcome the help to their food budgets.",,"Christmas gift campaign, school supplies, food distribution, baby baskets, service resource books, educational classes",,,,,,,,,,,,,,,3
4715,Estelle Van Meter Multipurpose Center - S. Central Ave.,,,,"Food Pantry, Other",,,7600 S Avalon Blvd,,Los Angeles,CA,90001,33.97114704,-118.2650638,,,(323) 753-3881,[],,,,,,,,English,,,,,,,,,,,,,,,,,,4
